unique_larva_id,treatment,observation_date,status,mass
CM 5/11/2021 1,manure,5/11/2021,egg,10
CM 5/11/2021 1,manure,5/25/2021,larva,186
CM 5/11/2021 1,manure,6/1/2021,larva,381
CM 5/11/2021 1,manure,6/15/2021,larva,1307
CM 5/11/2021 1,manure,6/22/2021,larva,1548
CM 5/11/2021 1,manure,6/29/2021,larva,2111
CM 5/11/2021 1,manure,6/8/2021,larva,535
CM 5/11/2021 1,manure,7/14/2021,larva,2675
CM 5/11/2021 1,manure,7/20/2021,larva,3866
CM 5/11/2021 1,manure,7/28/2021,larva,5276
CM 5/11/2021 1,manure,7/6/2021,larva,2419
CM 5/11/2021 1,manure,8/10/2021,larva,8901
CM 5/11/2021 1,manure,8/4/2021,larva,7335
CM 5/11/2021 2,manure,5/11/2021,egg,10
CM 5/11/2021 2,manure,5/25/2021,larva,210
CM 5/11/2021 2,manure,6/1/2021,larva,297
CM 5/11/2021 2,manure,6/15/2021,larva,875
CM 5/11/2021 2,manure,6/22/2021,larva,1033
CM 5/11/2021 2,manure,6/29/2021,larva,667
CM 5/11/2021 2,manure,6/8/2021,larva,440
CM 5/11/2021 2,manure,7/6/2021,dead,43
CM 5/11/2021 3,manure,5/11/2021,egg,10
CM 5/11/2021 3,manure,5/25/2021,larva,87
CM 5/11/2021 3,manure,6/1/2021,larva,233
CM 5/11/2021 3,manure,6/15/2021,dead,136
CM 5/11/2021 3,manure,6/8/2021,larva,181
CM 5/11/2021 4,manure,5/11/2021,egg,10
CM 5/11/2021 4,manure,5/25/2021,larva,162
CM 5/11/2021 4,manure,6/1/2021,larva,345
CM 5/11/2021 4,manure,6/15/2021,dead,181
CM 5/11/2021 4,manure,6/8/2021,larva,366
CM 5/11/2021 5,manure,5/11/2021,egg,10
CM 5/11/2021 5,manure,5/25/2021,larva,157
CM 5/11/2021 5,manure,6/1/2021,larva,380
CM 5/11/2021 5,manure,6/15/2021,larva,1276
CM 5/11/2021 5,manure,6/22/2021,larva,1515
CM 5/11/2021 5,manure,6/29/2021,larva,2620
CM 5/11/2021 5,manure,6/8/2021,larva,636
CM 5/11/2021 5,manure,7/14/2021,larva,3044
CM 5/11/2021 5,manure,7/20/2021,larva,4127
CM 5/11/2021 5,manure,7/28/2021,larva,4800
CM 5/11/2021 5,manure,7/6/2021,larva,2543
CM 5/11/2021 5,manure,8/10/2021,larva,7535
CM 5/11/2021 5,manure,8/4/2021,larva,6163
CM 5/11/2021 6,manure,5/11/2021,egg,10
CM 5/11/2021 6,manure,5/25/2021,larva,174
CM 5/11/2021 6,manure,6/1/2021,larva,343
CM 5/11/2021 6,manure,6/15/2021,dead,174
CM 5/11/2021 6,manure,6/8/2021,larva,472
CM 5/11/2021 7,manure,5/11/2021,egg,10
CM 5/11/2021 7,manure,5/25/2021,larva,143
CM 5/11/2021 7,manure,6/1/2021,larva,287
CM 5/11/2021 7,manure,6/15/2021,larva,403
CM 5/11/2021 7,manure,6/22/2021,larva,783
CM 5/11/2021 7,manure,6/29/2021,larva,1381
CM 5/11/2021 7,manure,6/8/2021,larva,326
CM 5/11/2021 7,manure,7/14/2021,larva,1445
CM 5/11/2021 7,manure,7/20/2021,dead,1111
CM 5/11/2021 7,manure,7/6/2021,larva,1583
CM 5/11/2021 8,manure,5/11/2021,egg,10
CM 5/11/2021 8,manure,5/25/2021,larva,198
CM 5/11/2021 8,manure,6/1/2021,larva,249
CM 5/11/2021 8,manure,6/8/2021,dead,165
CM 5/12/2021 1,manure,5/12/2021,egg,10
CM 5/12/2021 1,manure,5/25/2021,larva,100
CM 5/12/2021 1,manure,6/1/2021,larva,260
CM 5/12/2021 1,manure,6/8/2021,dead,341
CM 5/12/2021 10,manure,5/12/2021,egg,10
CM 5/12/2021 10,manure,5/25/2021,larva,165
CM 5/12/2021 10,manure,6/1/2021,dead,172
CM 5/12/2021 2,manure,5/12/2021,egg,10
CM 5/12/2021 2,manure,5/25/2021,empty,0
CM 5/12/2021 3,manure,5/12/2021,egg,10
CM 5/12/2021 3,manure,5/25/2021,larva,239
CM 5/12/2021 3,manure,6/1/2021,larva,359
CM 5/12/2021 3,manure,6/15/2021,dead,44
CM 5/12/2021 3,manure,6/22/2021,dead,52
CM 5/12/2021 3,manure,6/8/2021,larva,236
CM 5/12/2021 4,manure,5/12/2021,egg,10
CM 5/12/2021 4,manure,5/25/2021,larva,150
CM 5/12/2021 4,manure,6/1/2021,dead,191
CM 5/12/2021 5,manure,5/12/2021,egg,10
CM 5/12/2021 5,manure,5/25/2021,larva,134
CM 5/12/2021 5,manure,6/1/2021,larva,380
CM 5/12/2021 5,manure,6/15/2021,larva,1206
CM 5/12/2021 5,manure,6/22/2021,larva,1157
CM 5/12/2021 5,manure,6/29/2021,larva,1303
CM 5/12/2021 5,manure,6/8/2021,larva,570
CM 5/12/2021 5,manure,7/14/2021,larva,682
CM 5/12/2021 5,manure,7/20/2021,dead,264
CM 5/12/2021 5,manure,7/28/2021,dead,58
CM 5/12/2021 5,manure,7/6/2021,larva,1478
CM 5/12/2021 6,manure,5/12/2021,egg,10
CM 5/12/2021 6,manure,5/25/2021,larva,109
CM 5/12/2021 6,manure,6/1/2021,larva,298
CM 5/12/2021 6,manure,6/15/2021,dead,404
CM 5/12/2021 6,manure,6/8/2021,larva,328
CM 5/12/2021 7,manure,5/12/2021,egg,10
CM 5/12/2021 7,manure,5/25/2021,larva,173
CM 5/12/2021 7,manure,6/1/2021,larva,220
CM 5/12/2021 7,manure,6/15/2021,dead,64
CM 5/12/2021 7,manure,6/8/2021,larva,158
CM 5/12/2021 8,manure,5/12/2021,egg,10
CM 5/12/2021 8,manure,5/25/2021,larva,181
CM 5/12/2021 8,manure,6/1/2021,larva,249
CM 5/12/2021 8,manure,6/15/2021,larva,681
CM 5/12/2021 8,manure,6/22/2021,larva,954
CM 5/12/2021 8,manure,6/29/2021,larva,1086
CM 5/12/2021 8,manure,6/8/2021,larva,353
CM 5/12/2021 8,manure,7/6/2021,dead,741
CM 5/12/2021 9,manure,5/12/2021,egg,10
CM 5/12/2021 9,manure,5/25/2021,empty,0
CM 5/13/2021 1,manure,5/13/2021,egg,10
CM 5/13/2021 1,manure,5/25/2021,larva,82
CM 5/13/2021 1,manure,6/1/2021,larva,368
CM 5/13/2021 1,manure,6/15/2021,larva,1496
CM 5/13/2021 1,manure,6/22/2021,larva,1737
CM 5/13/2021 1,manure,6/29/2021,larva,2660
CM 5/13/2021 1,manure,6/8/2021,larva,576
CM 5/13/2021 1,manure,7/14/2021,larva,3062
CM 5/13/2021 1,manure,7/20/2021,larva,4016
CM 5/13/2021 1,manure,7/28/2021,larva,5605
CM 5/13/2021 1,manure,7/6/2021,larva,2648
CM 5/13/2021 1,manure,8/10/2021,larva,7786
CM 5/13/2021 1,manure,8/4/2021,larva,6687
CM 5/13/2021 2,manure,5/13/2021,egg,10
CM 5/13/2021 2,manure,5/25/2021,empty,0
CM 5/13/2021 3,manure,5/13/2021,egg,10
CM 5/13/2021 3,manure,5/25/2021,larva,140
CM 5/13/2021 3,manure,6/1/2021,larva,348
CM 5/13/2021 3,manure,6/15/2021,larva,965
CM 5/13/2021 3,manure,6/22/2021,larva,1355
CM 5/13/2021 3,manure,6/29/2021,larva,1913
CM 5/13/2021 3,manure,6/8/2021,larva,360
CM 5/13/2021 3,manure,7/14/2021,larva,2723
CM 5/13/2021 3,manure,7/20/2021,larva,3058
CM 5/13/2021 3,manure,7/28/2021,larva,4331
CM 5/13/2021 3,manure,7/6/2021,larva,1839
CM 5/13/2021 3,manure,8/10/2021,larva,6761
CM 5/13/2021 3,manure,8/4/2021,larva,5417
CM 5/13/2021 4,manure,5/13/2021,egg,10
CM 5/13/2021 4,manure,5/25/2021,larva,155
CM 5/13/2021 4,manure,6/1/2021,larva,283
CM 5/13/2021 4,manure,6/15/2021,dead,137
CM 5/13/2021 4,manure,6/8/2021,larva,209
CM 5/13/2021 5,manure,5/13/2021,egg,10
CM 5/13/2021 5,manure,5/25/2021,larva,232
CM 5/13/2021 5,manure,6/1/2021,larva,342
CM 5/13/2021 5,manure,6/15/2021,larva,1067
CM 5/13/2021 5,manure,6/22/2021,larva,1271
CM 5/13/2021 5,manure,6/29/2021,larva,1747
CM 5/13/2021 5,manure,6/8/2021,larva,446
CM 5/13/2021 5,manure,7/14/2021,larva,894
CM 5/13/2021 5,manure,7/20/2021,dead,248
CM 5/13/2021 5,manure,7/6/2021,larva,1234
CM 5/13/2021 6,manure,5/13/2021,egg,10
CM 5/13/2021 6,manure,5/25/2021,empty,0
CM 5/13/2021 7,manure,5/13/2021,egg,10
CM 5/13/2021 7,manure,5/25/2021,empty,0
CM 5/13/2021 8,manure,5/13/2021,egg,10
CM 5/13/2021 8,manure,5/25/2021,empty,0
CM 5/13/2021 9,manure,5/13/2021,egg,10
CM 5/13/2021 9,manure,5/25/2021,egg,0
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/13/2021 9,manure,EGG,egg,EGG
CM 5/14/2021 1,manure,5/14/2021,egg,10
CM 5/14/2021 1,manure,5/25/2021,larva,134
CM 5/14/2021 1,manure,6/1/2021,larva,308
CM 5/14/2021 1,manure,6/15/2021,dead,215
CM 5/14/2021 1,manure,6/8/2021,larva,364
CM 5/14/2021 10,manure,5/14/2021,egg,10
CM 5/14/2021 10,manure,5/25/2021,larva,204
CM 5/14/2021 10,manure,6/1/2021,larva,400
CM 5/14/2021 10,manure,6/15/2021,larva,1387
CM 5/14/2021 10,manure,6/22/2021,larva,1739
CM 5/14/2021 10,manure,6/29/2021,larva,2382
CM 5/14/2021 10,manure,6/8/2021,larva,627
CM 5/14/2021 10,manure,7/14/2021,larva,2898
CM 5/14/2021 10,manure,7/20/2021,larva,3280
CM 5/14/2021 10,manure,7/28/2021,larva,4891
CM 5/14/2021 10,manure,7/6/2021,larva,2214
CM 5/14/2021 10,manure,8/10/2021,larva,7123
CM 5/14/2021 10,manure,8/4/2021,larva,6306
CM 5/14/2021 11,manure,5/14/2021,egg,10
CM 5/14/2021 11,manure,5/25/2021,larva,196
CM 5/14/2021 11,manure,6/1/2021,larva,337
CM 5/14/2021 11,manure,6/15/2021,larva,953
CM 5/14/2021 11,manure,6/22/2021,larva,1327
CM 5/14/2021 11,manure,6/29/2021,larva,2102
CM 5/14/2021 11,manure,6/8/2021,larva,480
CM 5/14/2021 11,manure,7/14/2021,larva,2815
CM 5/14/2021 11,manure,7/20/2021,larva,3455
CM 5/14/2021 11,manure,7/28/2021,larva,4997
CM 5/14/2021 11,manure,7/6/2021,larva,2295
CM 5/14/2021 11,manure,8/10/2021,larva,6747
CM 5/14/2021 11,manure,8/4/2021,larva,6117
CM 5/14/2021 2,manure,5/14/2021,egg,10
CM 5/14/2021 2,manure,5/25/2021,larva,241
CM 5/14/2021 2,manure,6/1/2021,larva,350
CM 5/14/2021 2,manure,6/15/2021,larva,987
CM 5/14/2021 2,manure,6/22/2021,larva,1453
CM 5/14/2021 2,manure,6/29/2021,larva,1784
CM 5/14/2021 2,manure,6/8/2021,larva,325
CM 5/14/2021 2,manure,7/14/2021,larva,2558
CM 5/14/2021 2,manure,7/20/2021,larva,2263
CM 5/14/2021 2,manure,7/28/2021,larva,3888
CM 5/14/2021 2,manure,7/6/2021,larva,1958
CM 5/14/2021 2,manure,8/10/2021,larva,6026
CM 5/14/2021 2,manure,8/4/2021,larva,4315
CM 5/14/2021 3,manure,5/14/2021,egg,10
CM 5/14/2021 3,manure,5/25/2021,egg,0
CM 5/14/2021 3,manure,6/1/2021,larva,152
CM 5/14/2021 3,manure,6/15/2021,larva,262
CM 5/14/2021 3,manure,6/22/2021,larva,542
CM 5/14/2021 3,manure,6/29/2021,larva,513
CM 5/14/2021 3,manure,6/8/2021,larva,220
CM 5/14/2021 3,manure,7/6/2021,dead,224
CM 5/14/2021 4,manure,5/14/2021,egg,10
CM 5/14/2021 4,manure,5/25/2021,egg,0
CM 5/14/2021 4,manure,EGG,egg,EGG
CM 5/14/2021 4,manure,EGG,egg,EGG
CM 5/14/2021 5,manure,5/14/2021,egg,10
CM 5/14/2021 5,manure,5/25/2021,larva,246
CM 5/14/2021 5,manure,6/1/2021,larva,358
CM 5/14/2021 5,manure,6/15/2021,larva,1071
CM 5/14/2021 5,manure,6/22/2021,larva,1177
CM 5/14/2021 5,manure,6/29/2021,larva,1884
CM 5/14/2021 5,manure,6/8/2021,larva,540
CM 5/14/2021 5,manure,7/14/2021,larva,2843
CM 5/14/2021 5,manure,7/20/2021,larva,3009
CM 5/14/2021 5,manure,7/28/2021,larva,5241
CM 5/14/2021 5,manure,7/6/2021,larva,1913
CM 5/14/2021 5,manure,8/10/2021,larva,7145
CM 5/14/2021 5,manure,8/4/2021,larva,6361
CM 5/14/2021 6,manure,5/14/2021,egg,10
CM 5/14/2021 6,manure,5/25/2021,larva,49
CM 5/14/2021 6,manure,6/1/2021,larva,110
CM 5/14/2021 6,manure,6/15/2021,dead,161
CM 5/14/2021 6,manure,6/8/2021,larva,261
CM 5/14/2021 7,manure,5/14/2021,egg,10
CM 5/14/2021 7,manure,5/25/2021,larva,74
CM 5/14/2021 7,manure,6/1/2021,larva,357
CM 5/14/2021 7,manure,6/15/2021,dead,574
CM 5/14/2021 7,manure,6/8/2021,larva,595
CM 5/14/2021 8,manure,5/14/2021,egg,10
CM 5/14/2021 8,manure,5/25/2021,larva,68
CM 5/14/2021 8,manure,6/1/2021,dead,75
CM 5/14/2021 9,manure,5/14/2021,egg,10
CM 5/14/2021 9,manure,5/25/2021,larva,89
CM 5/14/2021 9,manure,6/1/2021,larva,330
CM 5/14/2021 9,manure,6/15/2021,larva,1258
CM 5/14/2021 9,manure,6/22/2021,larva,1629
CM 5/14/2021 9,manure,6/29/2021,larva,2289
CM 5/14/2021 9,manure,6/8/2021,larva,469
CM 5/14/2021 9,manure,7/14/2021,larva,2746
CM 5/14/2021 9,manure,7/20/2021,larva,3555
CM 5/14/2021 9,manure,7/28/2021,larva,5037
CM 5/14/2021 9,manure,7/6/2021,larva,2196
CM 5/14/2021 9,manure,8/10/2021,larva,7827
CM 5/14/2021 9,manure,8/4/2021,larva,7001
CM 5/17/2021 1,manure,5/17/2021,egg,10
CM 5/17/2021 1,manure,5/25/2021,larva,28
CM 5/17/2021 1,manure,6/1/2021,larva,228
CM 5/17/2021 1,manure,6/15/2021,dead,58
CM 5/17/2021 1,manure,6/8/2021,larva,108
CM 5/17/2021 2,manure,5/17/2021,egg,10
CM 5/17/2021 2,manure,5/25/2021,larva,138
CM 5/17/2021 2,manure,6/1/2021,larva,298
CM 5/17/2021 2,manure,6/15/2021,dead,195
CM 5/17/2021 2,manure,6/8/2021,larva,263
CM 5/17/2021 3,manure,06/29/2021,dead,33
CM 5/17/2021 3,manure,5/17/2021,egg,10
CM 5/17/2021 3,manure,5/25/2021,egg,0
CM 5/17/2021 3,manure,6/1/2021,larva,213
CM 5/17/2021 3,manure,6/15/2021,larva,188
CM 5/17/2021 3,manure,6/22/2021,dead,45
CM 5/17/2021 3,manure,6/8/2021,larva,287
CM 5/17/2021 4,manure,5/17/2021,egg,10
CM 5/17/2021 4,manure,5/25/2021,larva,85
CM 5/17/2021 4,manure,6/1/2021,dead,94
CM 5/17/2021 5,manure,5/17/2021,egg,10
CM 5/17/2021 5,manure,5/25/2021,empty,0
CM 5/17/2021 6,manure,5/17/2021,egg,10
CM 5/17/2021 6,manure,5/25/2021,larva,152
CM 5/17/2021 6,manure,6/1/2021,larva,284
CM 5/17/2021 6,manure,6/8/2021,dead,334
CM 5/17/2021 7,manure,5/17/2021,egg,10
CM 5/17/2021 7,manure,5/25/2021,larva,192
CM 5/17/2021 7,manure,6/1/2021,larva,210
CM 5/17/2021 7,manure,6/15/2021,dead,34
CM 5/17/2021 7,manure,6/8/2021,larva,188
CM 5/17/2021 8,manure,5/17/2021,egg,10
CM 5/17/2021 8,manure,5/25/2021,larva,138
CM 5/17/2021 8,manure,6/1/2021,dead,211
FCT 5/11/2021 1,frass,5/11/2021,egg,10
FCT 5/11/2021 1,frass,5/24/2021,larva,203
FCT 5/11/2021 1,frass,6/15/2021,larva,1494
FCT 5/11/2021 1,frass,6/2/2021,larva,420
FCT 5/11/2021 1,frass,6/22/2021,larva,2008
FCT 5/11/2021 1,frass,6/29/2021,larva,2101
FCT 5/11/2021 1,frass,6/9/2021,larva,686
FCT 5/11/2021 1,frass,7/14/2021,larva,2834
FCT 5/11/2021 1,frass,7/20/2021,larva,3084
FCT 5/11/2021 1,frass,7/28/2021,larva,3454
FCT 5/11/2021 1,frass,7/6/2021,larva,2595
FCT 5/11/2021 1,frass,8/10/2021,larva,5613
FCT 5/11/2021 1,frass,8/4/2021,larva,5260
FCT 5/11/2021 2,frass,5/11/2021,egg,10
FCT 5/11/2021 2,frass,5/24/2021,larva,114
FCT 5/11/2021 2,frass,6/15/2021,larva,1102
FCT 5/11/2021 2,frass,6/2/2021,larva,381
FCT 5/11/2021 2,frass,6/22/2021,larva,1715
FCT 5/11/2021 2,frass,6/29/2021,larva,2232
FCT 5/11/2021 2,frass,6/9/2021,larva,390
FCT 5/11/2021 2,frass,7/14/2021,larva,1969
FCT 5/11/2021 2,frass,7/20/2021,larva,1924
FCT 5/11/2021 2,frass,7/28/2021,larva,1715
FCT 5/11/2021 2,frass,7/6/2021,larva,2296
FCT 5/11/2021 2,frass,8/10/2021,larva,3463
FCT 5/11/2021 2,frass,8/4/2021,larva,2594
FCT 5/11/2021 3,frass,5/11/2021,egg,10
FCT 5/11/2021 3,frass,5/24/2021,larva,256
FCT 5/11/2021 3,frass,6/15/2021,larva,1460
FCT 5/11/2021 3,frass,6/2/2021,larva,385
FCT 5/11/2021 3,frass,6/22/2021,larva,1956
FCT 5/11/2021 3,frass,6/29/2021,larva,2545
FCT 5/11/2021 3,frass,6/9/2021,larva,768
FCT 5/11/2021 3,frass,7/14/2021,larva,3006
FCT 5/11/2021 3,frass,7/20/2021,larva,3458
FCT 5/11/2021 3,frass,7/28/2021,larva,3820
FCT 5/11/2021 3,frass,7/6/2021,larva,2838
FCT 5/11/2021 3,frass,8/10/2021,larva,5943
FCT 5/11/2021 3,frass,8/4/2021,larva,5077
FCT 5/11/2021 4,frass,5/11/2021,egg,10
FCT 5/11/2021 4,frass,5/24/2021,larva,145
FCT 5/11/2021 4,frass,6/15/2021,larva,1210
FCT 5/11/2021 4,frass,6/2/2021,larva,424
FCT 5/11/2021 4,frass,6/22/2021,larva,1875
FCT 5/11/2021 4,frass,6/29/2021,larva,2150
FCT 5/11/2021 4,frass,6/9/2021,larva,548
FCT 5/11/2021 4,frass,7/14/2021,larva,3163
FCT 5/11/2021 4,frass,7/20/2021,larva,3467
FCT 5/11/2021 4,frass,7/28/2021,larva,3347
FCT 5/11/2021 4,frass,7/6/2021,larva,2817
FCT 5/11/2021 4,frass,8/10/2021,larva,6045
FCT 5/11/2021 4,frass,8/4/2021,larva,5320
FCT 5/11/2021 5,frass,5/11/2021,egg,10
FCT 5/11/2021 5,frass,5/24/2021,larva,236
FCT 5/11/2021 5,frass,6/15/2021,larva,1442
FCT 5/11/2021 5,frass,6/2/2021,larva,425
FCT 5/11/2021 5,frass,6/22/2021,larva,2145
FCT 5/11/2021 5,frass,6/29/2021,larva,2447
FCT 5/11/2021 5,frass,6/9/2021,larva,778
FCT 5/11/2021 5,frass,7/14/2021,larva,2401
FCT 5/11/2021 5,frass,7/20/2021,larva,2702
FCT 5/11/2021 5,frass,7/28/2021,larva,2688
FCT 5/11/2021 5,frass,7/6/2021,larva,2810
FCT 5/11/2021 5,frass,8/10/2021,larva,5572
FCT 5/11/2021 5,frass,8/4/2021,larva,4542
FCT 5/11/2021 6,frass,5/11/2021,egg,10
FCT 5/11/2021 6,frass,5/24/2021,larva,279
FCT 5/11/2021 6,frass,6/15/2021,larva,1701
FCT 5/11/2021 6,frass,6/2/2021,larva,420
FCT 5/11/2021 6,frass,6/22/2021,larva,2355
FCT 5/11/2021 6,frass,6/29/2021,larva,2276
FCT 5/11/2021 6,frass,6/9/2021,larva,818
FCT 5/11/2021 6,frass,7/14/2021,larva,3044
FCT 5/11/2021 6,frass,7/20/2021,larva,3111
FCT 5/11/2021 6,frass,7/28/2021,larva,2926
FCT 5/11/2021 6,frass,7/6/2021,larva,2636
FCT 5/11/2021 6,frass,8/10/2021,larva,4793
FCT 5/11/2021 6,frass,8/4/2021,larva,3258
FCT 5/11/2021 7,frass,5/11/2021,egg,10
FCT 5/11/2021 7,frass,5/24/2021,larva,145
FCT 5/11/2021 7,frass,6/15/2021,larva,1141
FCT 5/11/2021 7,frass,6/2/2021,larva,441
FCT 5/11/2021 7,frass,6/22/2021,larva,1879
FCT 5/11/2021 7,frass,6/29/2021,larva,2195
FCT 5/11/2021 7,frass,6/9/2021,larva,457
FCT 5/11/2021 7,frass,7/14/2021,larva,3289
FCT 5/11/2021 7,frass,7/20/2021,larva,3401
FCT 5/11/2021 7,frass,7/28/2021,larva,2985
FCT 5/11/2021 7,frass,7/6/2021,larva,2858
FCT 5/11/2021 7,frass,8/10/2021,larva,5349
FCT 5/11/2021 7,frass,8/4/2021,larva,3218
FCT 5/11/2021 8,frass,5/11/2021,egg,10
FCT 5/11/2021 8,frass,5/24/2021,larva,175
FCT 5/11/2021 8,frass,6/15/2021,larva,1356
FCT 5/11/2021 8,frass,6/2/2021,larva,409
FCT 5/11/2021 8,frass,6/22/2021,larva,1984
FCT 5/11/2021 8,frass,6/29/2021,larva,2121
FCT 5/11/2021 8,frass,6/9/2021,larva,658
FCT 5/11/2021 8,frass,7/14/2021,larva,3272
FCT 5/11/2021 8,frass,7/20/2021,larva,3171
FCT 5/11/2021 8,frass,7/28/2021,larva,3786
FCT 5/11/2021 8,frass,7/6/2021,larva,2752
FCT 5/11/2021 8,frass,8/10/2021,larva,6109
